lead_idx,lead_name,n_valid,qrs_exceed_pct,pr_exceed_pct,qt_exceed_pct,hr_exceed_pct,qrs_duration_error_mean,pr_interval_error_mean,qt_interval_error_mean,hr_error_mean
0,I,1932,4.554865424430642,2.122153209109731,2.846790890269151,0.2070393374741201,2.5737213554848988,3.876582324085212,3.4055596446887795,0.08102041053432764
1,II,1932,2.743271221532091,5.590062111801243,11.594202898550725,0.4140786749482402,1.9771346168089496,4.460472897869846,8.622506635396881,0.11596102011677939
2,III,1932,8.592132505175984,6.469979296066253,11.180124223602485,0.3105590062111801,5.775093526967381,7.73827898641286,10.91528522171989,0.11129328465891965
3,aVR,1932,1.5527950310559007,6.625258799171843,1.1387163561076605,0.3105590062111801,7.871676999013448,4.974764899879116,3.8552653780244404,0.08304361591228292
4,aVL,1932,8.333333333333334,5.900621118012422,5.9523809523809526,0.3105590062111801,4.209345132910355,6.4655170992127085,6.836516464703861,0.10267619303114346
5,aVF,1932,6.573498964803313,8.178053830227743,18.21946169772257,0.4658385093167702,3.968216651950752,7.309248468469098,14.137454444806798,0.12848076584014553
6,V1,1932,4.606625258799172,27.950310559006212,33.22981366459627,0.2587991718426501,20.084449951227086,15.341314121511285,37.11562877122772,0.08355506415487103
7,V2,1932,7.815734989648033,24.4824016563147,46.8944099378882,0.2587991718426501,23.76132230204888,13.856229945600276,37.955111842166644,0.09556860219727448
8,V3,1932,15.786749482401657,20.652173913043477,56.107660455486545,0.36231884057971014,11.871210502839167,12.55261512098092,43.14840414900123,0.1184178797373547
9,V4,1932,5.227743271221532,4.399585921325052,16.563146997929607,0.36231884057971014,3.0115122818822444,5.383378727582639,13.266674406803828,0.10990381427410575
10,V5,1932,22.36024844720497,4.606625258799172,18.685300207039337,0.4658385093167702,9.704369832019228,6.4082505812682236,19.743106509617064,0.10150059646542706
11,V6,1932,31.107660455486542,4.813664596273292,21.8944099378882,0.2587991718426501,11.020390468152566,6.6375281733654745,21.70996097776205,0.07342570150102591
