label,variant_a,variant_b,auc_a,auc_b,delta,p_value,p_value_adj,ci_low,ci_high,n_pos,n_neg
NORM,classifier_true,baseline,0.4944963285401739,0.4944963285401739,0.0,0.0,0.0,0.0,0.0,869,1063
IMI,classifier_true,baseline,0.4848866594898341,0.4848866594898341,0.0,0.0,0.0,0.0,0.0,231,1701
ASMI,classifier_true,baseline,0.526154566333621,0.526154566333621,0.0,0.0,0.0,0.0,0.0,197,1735
LVH,classifier_true,baseline,0.5200389194489987,0.5200389194489987,0.0,0.0,0.0,0.0,0.0,187,1745
NDT,classifier_true,baseline,0.513688358791937,0.513688358791937,0.0,0.0,0.0,0.0,0.0,162,1770
LAFB,classifier_true,baseline,0.5260228971594932,0.5260228971594932,0.0,0.0,0.0,0.0,0.0,142,1790
ISC_,classifier_true,baseline,0.5328475097832593,0.5328475097832593,0.0,0.0,0.0,0.0,0.0,111,1821
IRBBB,classifier_true,baseline,0.5146228436729883,0.5146228436729883,0.0,0.0,0.0,0.0,0.0,102,1830
PVC,classifier_true,baseline,0.4507943190256509,0.4507943190256509,0.0,0.0,0.0,0.0,0.0,93,1839
1AVB,classifier_true,baseline,0.5241522804993614,0.5241522804993614,0.0,0.0,0.0,0.0,0.0,65,1867
IVCD,classifier_true,baseline,0.44882957864831347,0.44882957864831347,0.0,0.0,0.0,0.0,0.0,67,1865
ISCAL,classifier_true,baseline,0.5020293505109701,0.5020293505109701,0.0,0.0,0.0,0.0,0.0,55,1877
NST_,classifier_true,baseline,0.4735441707219266,0.4735441707219266,0.0,0.0,0.0,0.0,0.0,49,1883
CRBBB,classifier_true,baseline,0.5647116065109695,0.5647116065109695,0.0,0.0,0.0,0.0,0.0,48,1884
CLBBB,classifier_true,baseline,0.4696370316581226,0.4696370316581226,0.0,0.0,0.0,0.0,0.0,49,1883
ILMI,classifier_true,baseline,0.5476694381456286,0.5476694381456286,0.0,0.0,0.0,0.0,0.0,42,1890
LAO/LAE,classifier_true,baseline,0.4860829861603745,0.4860829861603745,0.0,0.0,0.0,0.0,0.0,41,1891
AMI,classifier_true,baseline,0.5373378899404135,0.5373378899404135,0.0,0.0,0.0,0.0,0.0,30,1902
ALMI,classifier_true,baseline,0.4767488201363398,0.4767488201363398,0.0,0.0,0.0,0.0,0.0,25,1907
PACE,classifier_true,baseline,0.47901415836392236,0.47901415836392236,0.0,0.0,0.0,0.0,0.0,25,1907
ISCIN,classifier_true,baseline,0.4868704331941544,0.4868704331941544,0.0,0.0,0.0,0.0,0.0,16,1916
INJAS,classifier_true,baseline,0.4870278152254657,0.4870278152254657,0.0,0.0,0.0,0.0,0.0,19,1913
LMI,classifier_true,baseline,0.45224425887265135,0.45224425887265135,0.0,0.0,0.0,0.0,0.0,16,1916
ISCIL,classifier_true,baseline,0.46543209876543207,0.46543209876543207,0.0,0.0,0.0,0.0,0.0,15,1917
DIG,classifier_true,baseline,0.4424665949930886,0.4424665949930886,0.0,0.0,0.0,0.0,0.0,17,1915
LPFB,classifier_true,baseline,0.5802488097066503,0.5802488097066503,0.0,0.0,0.0,0.0,0.0,17,1915
ISCAS,classifier_true,baseline,0.4094881148033832,0.4094881148033832,0.0,0.0,0.0,0.0,0.0,13,1919
INJAL,classifier_true,baseline,0.5951511991657977,0.5951511991657977,0.0,0.0,0.0,0.0,0.0,14,1918
ISCLA,classifier_true,baseline,0.5584547346514048,0.5584547346514048,0.0,0.0,0.0,0.0,0.0,10,1922
RVH,classifier_true,baseline,0.4532677109460035,0.4532677109460035,0.0,0.0,0.0,0.0,0.0,11,1921
